page,outbreak_id,start_date,end_date,latitude,longitude,location,epidemiological_unit,species,bird_type,susceptible,cases,deaths,killed_disposed,slaughtered_commercial,vaccinated,year,month,duration_days
5,0062500064,2025-05-04,2025-05-16,-6.395227,-77.467479,"SAN NICOLAS, SAN NICOLAS,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,5,12
8,0042500019,2025-02-25,2025-04-29,-13.758728,-76.232519,"LA PALMILLA, PARACAS, PISCO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2,63
9,0162500063,2025-02-07,2025-03-13,-13.393792,-76.202967,"TOTORITA, GROCIO PRADO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2,34
10,0282500005,2025-01-27,2025-04-14,-12.28244,-76.892884,"LURIN, LURIN, LIMA, LIMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1,77
11,0062500022,2025-01-29,2025-04-21,-5.635028,-78.524051,"BAGUA, BAGUA, BAGUA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1,82
12,0052500028,2025-01-23,2025-03-11,-7.234288,-78.421891,"POMABAMBA, JESUS,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1,47
13,0052400291,2024-12-17,2025-02-09,-7.21658,-78.44998,"COLLPA, JESUS, CAJAMARCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,12,54
14,0052500001,2025-01-02,2025-02-13,-14.319812,-76.161136,"RAZURI, ASCOPE, LA LIBERTAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1,42
16,0042400184,2024-10-07,2024-12-11,-5.225671,-80.628371,"CRUZ DEL MEDANO, MORROPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,10,65
17,0102400096,2024-05-27,2024-11-13,-7.716179,-79.340357,"EL CERRITO, PAIJAN, ASCOPE, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,5,170
18,0042400176,2024-09-20,2024-11-11,-9.504655,-77.512695,"HUANCHAC, INDEPENDENCIA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,9,52
19,0042400175,2024-09-19,2024-11-13,-6.51388,-79.96298,"CRUZ DEL MEDANO, MORROPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,9,55
20,0242400087,2024-07-15,2024-11-06,-16.675671,-71.858337,"SAN CAMILO, LA JOYA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,7,114
